Text,Label
اگر شما به اینترنت پرسرعت دسترسی دارید و به بازی های آنلاین علاقه مندید قطعا بهترین گزینه برای شماست به خاطر شبکه فوق العاده که مایکروسافت واقعا ساپورت خوبی از این شبکه میکنه .,2
میخواستم بگم که در تمام سایت ها نوشته اند که نسخه . اندروید فارسی اس منتشر نشده ولی من آپدیت کردم نسخه آخرین ورژن اومد و کاملا فارسی هستش بسیار هم عالیه .,2
اپل و تا حد زیادی نوکیا همیشه ثابت کرده که چطور بلدن استفاده ی بهینه از سخت افزار داشته باشه .,0
در بالای این صفحه نمایش یک وب کم مگاپیکسلی قرار دارد .,0
مثلا دایرکت کال یا همون چیزی که گوش رو نزدیک گوشی میبرید با شماره طرف تماس میگیره . .,0
تا بتونه استفاده کننگان از محصولاتش رو بیشتر نسبت به ضعف های محصولاتش گمراه کنه .,-1
و البته سامسونگ نیز این اتهامات رد کرده است .,0
همین چند ماه پیش بود که سونی ، یک گوشی به نام را معرفی کرد ، آن زمان را یک گوشی اندرویدی سطح مبتدی برای کاربرانی معرفی کردیم که قصد دارند یک گوشی نسبتا جمع و جور با قیمت ارزان داشته باشند .,0
با این حال طبق ادعای کمپانی ، این دوربین از نظر پردازش عکس ها قوی تر عمل می کند تا عکس های با کیفیت تری بدست آید .,1
سلام من الان دارم با این گوشی متن رو می نویسم امروز دستم رسید رنگ مشکی از دیجی کالا خریدم فوق العادست صفحه نمایش عالی اندازه بزرگو باریک و عالی تاج منو هاش با نیم ساعت کار کردن یاد میگیری و مشکلی نداره .,2
همچنین تایمر و توانایی عکاسی پیاپی با سرعت فریم بر ثانیه را هم دارد .,0
در قلب یک پردازنده ی بسیار قدرتمند دو هسته ای با سرعت گیگاهرتز قرار گرفته که در زمان ورود به بازار در سال فوق العاده بود ، اما در حال حاضر و در بین دنیای چهار هسته ایها حرف خاصی برای گفتن ندارد .,-1
بطور پیش فرض این تبلت از اندروید شانه عسلی نسخه استفاده میکند که البته آپدیت نسخه نیز برای این تبلت منتشر شده است .,0
به نظر من ادعا کنه که سامسونگ پردازنده چهار هسته ای و صفحه رو از اون کپی کرده !,0
تو تمام نقدا و بنچمارکا از گوشیای دیگه که سخت افزارشون مثل این گوشیه سر تر بوده .,1
با این حال صفحه کلید نیز کاملا دوست داشتنی است .,2
یعنی و .,0
واقعا دوربین عالی هست .,2
یه تبلت عالی با قیمت فوق العاده,2
را می توان با مقایسه کرد ولی مثلا با ، هرچند که ممکن است عملکردهایی نسبتا مشابه را از خود به نمایش بگذارند ، در یک رده قرار نمی گیرند .,0
بعلاوه نمایشگر اینچی آن نیز از نوع لمسی است .,1
ورودی ها و خروجی ها از لحاظ پورت ها ، بسیار کامل است .,2
حافظه داخلی به میزان گیگابایت است که با توجه به قابلیت این دستگاه مبنی بر پشتیبانی از کارت حافظه جانبی ، می توان با کارت های آن را افزایش داد .,1
بهترین گوشی و خیلی بهتر از و,2
از رقبای اصلی این دوربین می توان به ، ، ، ، و اشاره کرد .,0
از قسمت بالا ، این دوربین تقریبا همان است .,0
با اینکه کیبورد اینفنیتی هم بسیار برام کاربردی بود ولی قلم نوت اون رو به مانند یک جزوه و نوشته ی همیشه همراه تبدیل کرده و یه چیزه دیگست !,0
سیستم خنک کنندگی یکی از نقاط قوت اصلی آن است .,1
گارانتی آونگ هم که عالیه واقعا اگر دنبال هارد پرتابل میگردید بهترین گزینه همینه شک نکنید !,2
با اینکه این صفحه نمایش بهترین صفحه نمایش موجود بر روی تبلت ها نیست ، اما در میان تبلت های هم رده خودش و با این قیمت ، بدون شک بهترین است .,1
در ظاهر همه فکر می کنند که ال سی دی گوشی ممکنه کیفیت نداشته باشه اما در مقایسه با این گوشی کیفیت خیلی خوبی داره .,2
در مورد پخش فیلم نیز خوب عمل می کنه .,1
برای اطلاعات بیشتر میتونید به وب سایت رسمی فوجیتسو سر بزنید,0
نداشتن رابط یو اس بی هست .,-1
در ضبط ویدیویی نیز میدان دید درجه پوشش داده می شود که فوق العاده است .,2
ادعا می کند که این پرینتر توانایی چاپ صفحه در دقیقه را دارد که برای پرینتر لیزری تک رنگ در این رده خیلی خوب است هرچند که به پای سرعت صفحه در دقیقه نمی رسد .,-1
البته این میزان بسیار ناچیز است و همچنان به عنوان یک تبلت بسیار باریک و زیبا شناخته شده است و در دست نگه داشتن آن بسیار راحت و لذت بخش است .,2
همچنین یک پایه ی نگهدارنده نیز برای آن وجود دارد که می توان از آن به صورت عمودی استفاده کرد .,0
در ضمن شما می توانید فیلم هایی که گرفته اید را از طریق پورت و کابل بر روی مشاهده کنید .,0
امکانات نرم افزاری مختلف سامسونگ مانند و نیز بر روی این تبلت وجود دارد .,0
ظاهرا دوربین خوبی است اگه بشه برای مراسمات ازش استفاده کرد که عالی میشد,1
برنامه دیگری که به اضافه شده برنامه نام دارد که یک برنامه بسیار قوی با امکانات بسیار خوب است که تمامی فعالیت های شما را می تواند ذخیره ، برنامه ریزی و یاد آوری نماید .,2
از اون انقلاب هایی که بوی استیو جابز بزرگ رو میده میلی متر ضخامت ، و گرم وزن .,0
کلیدها فضای کافی برای فشار دادن داشته و بازخورد بسیار خوبی دارند .,2
در نگاه اول شباهت های زیادی بین طراحی این گوشی و سری های قبلی خواهید یافت .,0
عملکرد خیلی بیصدا و استفاده از فن قدرتمند که تا پنج ساعت بازی مداوم هیچ مشکلی بوجود نمیاد .,2
در مجموع همانند پرینتر این دستگاه ، اسکنر آن نیز تقریبا کمبودی ندارد و از نظر عملکرد خوب ارزیابی می شود .,1
و همچنین نوکیا مجتمع اصلی خود را در فلاند به فروش گذاشته است و میخواهد آن مجتمع را پس از فروش از خریدار اجاره یا رهن کند اما شاید بتواند با نسل گوشی های جدید خود و ارا ه ی سیستم عامل ویندوز و یا قرار دادن دوربین های قوی و دیگر تکنولوژی ها دوباره به بازار راه پیدا کند و برند نوکیا دوباره زبانزد مردم شود و بتواند از محبوبیت قبلی خود برخوردار بشود .,0
من خودم به شخصه از آیفون انتظارات بیشتری داشتم .,0
چینش دکمه ها و ارگونومی هم طبق سنت بیشتر دوربین های فوجی فیلم هم رده می باشد .,0
فیلم برداری قابل قبولی هم داره .,1
اول اینکه با قرار دادن گوشی بر روی سطوح مختلف ، احتمال خط افتادن بر روی شیشه روی لنز بسیار زیاد است .,-1
بقیه مشخصات گوشی هم عالی هست و تمام بازی های که داشتم رو به راحتی اجرا کرد .,2
زمان راه اندازی و را با استفاده از فن آوری به طور چشمگیری کاهش داده است که به شما اجازه می دهد تا بدون احتیاج به یک جداگانه برای نصب ، فقط پرینتر را به رایانه متصل کنید تا سپس عمل نصب به صورت خودکار انجام گیرد .,1
قاب پشتی به همان بافت های حلقه ای مخصوص تبلت ها و نوت بوک های ایسوس به نام مزین شده است که نه تنها از جذب اثر انگشت جلوگیری می کند ، بلکه از لیز خوردن گوشی در دست شما نیز جلوگیری می کند .,0
همچنین فیلم برداری آن نیز و با سرعت فریم بر ثانیه صورت می پذیرد .,0
در هفته اول به دلیل قرار گرفتن گوشی موبایلم روی این تبلت متوجه خش های ریز روی آن شدم .,0
اگر به دنبال لپ تاپی زیبا ، خوش ساخت و با قیمتی مناسب هستید ، مطم نا لپ تاپ های سری کمپانی سامسونگ ، جزو بهترین انتخاب های شما خواهند بود .,2
در کل حالا حالا ها این گوشی رو نگه میدارم ، با تشکر از همه دوستان,0
پنل بالایی از پلاستیک مشکی مات ساخته شده و این در حالی است که اطراف آن به رنگ براق می باشد .,0
همانطور که گفتیم ، دیگر پیشرفت این دوربین نسبت به مدل پیشین ، به بهره گیری از پورت مربوط می شود .,1
فقط اگه لوازم جانبی بتونین براش بیارین واقعا عالی میشه,1
هرچند که باید منتظر آمدن آن به بازار و تست واقعی عکس های آن باشیم .,0
صفحه نمایش باکیفیتی هم داره جالب تر از این ها این که من بازی اسفالت رو ریختم و بدون هیچ مشکلی بازی رواجرا کرد حتی خودم هم باورم نشد .,1
با اینکه رنگ های این صفحه نمایش مانند ها چندان زنده و با طراوت به نظر نمی آیند ، اما وضوح و شفافیت آن ها بسیار مناسب ارزیابی می گردند .,0
گرافیکش که دیگه حرف نداره .,2
معایب از نظر من کیفیت پایین تصویر کیفیت ساخت نا مناسب رابط کاربری نا مناسب,-1
تمامی برنامه های پیش فرض سیستم عامل نیز برای این اندازه و دقت بالاتر از نو طراحی شده اند و اپل حداکثر تلاش خود را کرده تا کاربران از این افزایش سایز صفحه نمایش ، حداکثر بهره را ببرند .,0
من تقریبا ماهه که این گوشی رو از دیجی کالا خریدم .,0
گاهی اوقات بسیاری از کاربران هنگامی که دستوری رو صادر میکنند ناخواسته بصورت پیاپی این دستور رو تکرار کرده و این امر موجب صدور دستور وقفه توسط سیستم عامل و حتی در سیستم میشه وگرنه این کاملا مشهوده که عملکرد یک پردازشگر چند هسته ای متقارن با فرکانس به این سادگی دچار وقفه هنگ نمیشه !,0
واقعا محشره,2
از دیگر برنامه هایی که تغییر بسیاری داشته است ، وید و پلیر گوشی است .,0
که این روشنایی به دلیل وجود پنل و تکنولوزی است .,0
در خریدش شک نکنید,1
دکمه کنترل صدا و دکمه ی هر کدام در طرفین گوشی قرار دارند .,0
در ضمن نسخه از فناوری بلوتوث و همچنین فناوری نیز برای ایجاد ارتباط با دیگر دستگاه ها موجود است .,0
باید دید قیمتش چنده .,0
کارتون در همه زمینه ها مخصوصا نقد و بررسی ها بسیار عالی و کاربردیه .,0
همه این کارها در به لطف قلم تعبیه شده بسیار راحت تر و لذت بخش تر از گذشته مقدور می باشند .,2
بدون دردسر تو جیبم جا میشه,1
تنها ایرادی که به این تبلت وارد است نبود قابلیت نصب سیم کارت است ولی به نظر می رسد که این ایراد با تعریف کاربریه تبلت و گوشی همراه از بین خواهد رفت !,1
این ویژگی در جاهای دیگر گوشی مثل جستجو در گوگل یا در مرورگر برای نوشتن آدرس های اینترنتی هم کاربرد دارد .,1
پس محصول بد نمیسازد .,0
در مورد قیمتش هم میشه گفت بهترین انتخاب میتونه باشه در بین هم نوعانش .,2
با قابلیت های ارتباطی بهتر می توانید فایل ها و برنامه های چندرسانه ای خود را آسان تر به اشتراک گذاشته و از آنها لذت ببرید .,1
رزولوشن این صفحه نمایش پیکسل می باشد که همانند آیپد مینی است .,0
در صورتیکه وایلد فایر راحت روز جواب میداد رابط خیلی زیبا تر از رابط ری هست ویدجت های بیشتر و کاربردی تر هستند و قابل دانلود ولی برای این که ندیدم قابل دانلود باشه وایلد فایر عملکرد ضعیفی تو بازی ها دارد امکان قطع صدای زنگ با برعکس کردن گوشی در وایلدفایر بود ولی ری ندارد . کیفیت صفحه نمایش ری خیلی بالاتر هست .,0
کنترل چند رسانه جهانی این وسیله در شنیدن موسیقی و پخش کاربرد فراوانی دارد .,1
به روز رسانی باتری لیتیوم یونی قابل شارژ این دوربین در هر بار شارژ کامل توانایی شارژدهی برای تا عکس را دارد که مقدار نسبتا خوبی است .,1
شما هر عکسی رو زوم کنی تار میشه .,0
تماشای فیلم از طریق با قابلیت کافی است که حافظه خارجی خود را به تلویزیون وصل کرده و فورا از فیلم ها ، عکس ها یا آهنگ های دلخواه خود لذت ببرید .,1
"لپ تاپ خوبیه , از همه مهم تر سبک بودنش هست .",1
و از لحاظ گرافیک طی این سال امتحان خودشو پس داده و ثابت کرده که گرافیکش از هر گوشی ی بیشتر است . .,1
با این حال باید بگوییم که این گوشی شکیل تر نیز شده است .,1
از نظر قدرت عکاسی نیز این گوشی عملکرد بسیار خوبی را به کاربر ارا ه می نماید .,0
و اپل همیشه برترین کیفیت رو داشته .,0
همچنین به نظر ما از نظر مقاومت در برابر خراش و آسیب های احتمالی مقاوم تر از کاور پشتی اصلی است .,1
قیمتش خیلی اومده پایین کاملا هم گوشی عالی هست .,2
به روز رسانی کیفیت عکس های گرفته شده توسط در سطح خوبی قرار دارد .,1
چنانچه هر دو برای شما مهمه و کمی افت در کیفیت عکسها شما رو دلخور نمی کنه من به شما سونی رو پیشنهاد می کنم و برای عکاسی حرفه ای تر و تا حدی نادیده گرفتن فیلمبرداری با سرعت بالاتر پیشنهاد می کنم کانن رو هرگز از سبد خریدتون حذف نکنید .,0
به هر حال اگر به بدنه که تقریبا ضد خش بود عادت کرده باشید ، ممکن است مدل جدید کمپانی اپل برایتان چندان رضایت بخش نباشد .,-1
کاش یکم کوچیکتر بود مثلا اینچ یا خواستن شبیه اس باشه ولی به صرفه نیست !,-1
این میزان قدرت پردازشی ، بستر مناسبی را برای قدرت نمایی رابط کاربری سیستم عامل اندروید فراهم می آورد و حرکت بین قسمت های مختلف سریع ، روان و لذت بخش صورت می گیرد .,1
سلام به همتون .,0
در ضمن ، یک دوربین مگاپیکسلی نیز برای انجام مکالمات تصویری وجود دارد که برای این منظور بسیار مناسب و با کیفیت است .,2
در صورت لزوم شما می توانید آن را نیز سفارش دهید .,0
برای اینکه لرزش دست شما بر روی سنسور تصویر ثبت نشود این دوربین مجهز به لرزش گیر تصویر مکانیکی می باشد .,1
در این نقد و بررسی می خواهیم با هم نگاهی تخصصی تر و البته واقع بینانه تر به بیاندازیم و با بررسی معایب و مزایایی که در نهفته است گامی استوار تر برای خرید آن برداریم یا اگر صاحب یک هستیم به خود افتخار کنیم .,1
از هر لحاظ که بخای انتظاراتمو تقریبا برآورده کرده مخصوصا با زومی فوق العاده ای که در حین فیلم برداری داره .,2
باسپاس امید بخشی,0
با وجود نسخه ویندوز آر تی ، فقط قادر به اجرای برنامه هایی است که برای پردازنده های ساخته شده باشند .,0
یکی از مهمترین و اصلی ترین گزینه های یک عکس در هنگام کروپ آن ، عدم مشاهده اوجاج و حاشیه و پراکندگی رنگ اضافه در سوژه میباشد و تمام برندهای دوربین عکاسی با ساختن لنزهای بسیار حساس و دقیق سعی در از بین بردن این مورد میباشند و نیکون در این خصوص نسبت به سایرین موفق تر بوده .,1
نوت بوک ها و تبلت های ایسوس به داشتن بلندگوهای با کیفیت و قدرتمند شهرت داشته اند و نیز از این قاعده مستثنی نیست .,0
لازم میدونم این رو هم بگم که در مورد هنگ هایی که برخی کابران اشاره کردن در واقع اون به نحوه کارکرد شما برمیگرده !,0
معایب کمی قاب پشتش خش پذیر است که با انداختن یک قاب به راحتی این مشکل حل می شود .,0
از نظر ظاهری ، ظاهری کاملا شبیه به دوربین های کامپکت دیگر دارد .,0
باتری با قرار گرفتن یک باتری میلی آمپری ، شارژ دهی این گوشی نسبت به مدل پیشین آن ، که از یک باتری میلی آمپری استفاده می نمود ، تا چند ساعت بهتر شده است .,1
این دوربین از سنسور تصویر مگا پیکسلی و پردازشگر تصویر بهره می برد .,1
بالاخره تموم شد !,0
محصولات اپل برای کسایی هست که دیگه به عادت کردند ولی باید گفت این گوشی تقریبا در هیچ موردی بهترین گوشی دنیا نیست .,-1
داک کیبورد نیز ، این تبلت را به یک نت بوک ایده آل تبدیل می کند .,1
خصوصا برای کسانی که سابقه استفاده از مدل های سیمبیان نوکیا را دارند .,0
از دیجی کالا هم نهایت تشکر رو دارم که بهترین قیمت ها رو داره .,1
اتصالات خروجی ، ورودی میکروفون ، پورت قابلیت اتصال صفحه کلید و ماوس و و ورودی کارت حافظه قابلیت اتصال به دستگاه تلفن همراه ، کامپیوتر ، هارد و . .,0
دوربین قوی تری داشته باشه . قدرت بیشتری داشته باشه .,0
دوسیم کارته عالیه .,2
با باتری لیتیومی قابل شارژ آیپاد شافل می توانید تا ساعت موسیقی گوش کنید .,1
جمع بندی با یک تبلت بسیار دوست داشتنی آشنا شدیم .,2
حتی می تواند فشار آب تا عمق متری را به راحتی دوام بیاورد .,1
در تست که مربوط به سرعت مرورگر می شود نیز آیفون در صدر قرار گرفت و و با اختلاف در رده های بعدی ایستادند .,0
نمونش همین دو گوشی و .,0
به علاوه آنقدر در مصرف برق صرفه جو می باشد که می توان آن را به راحتی با یک لپ تاپ استفاده کرد .,1
با اطمینان میگم این بهترینه .,1
دمای صفحه کلید و قسمت استراحت مچ همواره پایین تر از قسمت های دیگر بدنه است .,1
این ها فقط نمونه ای از هزاران برنامه ی کاربردی و سرگرم کننده ی آندروید هستند و تقریبا از هر قشری ، چه دانشجو ، دانش آموز ، مدیر یک شرکت ، پزشک ، مهندس ، بازاریاب ، ورزشکار و هرچه که باشید ، برنامه هایی برای شما وجود دارد و با سیستم عامل آندروید خود می تواند مورد نیاز شما باشد .,0
اما باید بگوییم که این دستگاه در مورد انجام وظایف خود بعنوان تبلت و لپ تاپ ، تقریبا در هیچ کدام کامل نیست و از هر یک شاید نیمی را با موفقیت پشت سر می گذارد .,-1
ویندوز فون به طور پیش فرض از مرورگر اینترنت استفاده می کند .,0
به طور پیش فرض از سیستم عامل اندروید به همراه رابط کاربری همیشگی سامسونگ یعنی بهره می برد .,0
از این یکه تازی مدتیست که خبری نیست .,-1
جالب ترین و باحال ترین وسیله ای که من تا حالا داشتم .,2
این طراحی دو ایراد را برای دوربین به وجود می آورد .,-1
همچنین توانایی زوم برابر هم برای انجام عکاسی های روزانه مناسب است .,1
در ادامه بیشتر توضیح می دهیم .,0
در ابتدا تیم توسعه دهنده کنسول های بازی در شرکت مایکروسافت تصمیم داشت کنسول را با نام زنون یا به بازار معرفی کند ، اما شرکت مایکروسافت برای این که طیف اثر گذاری این محصول را بیشتر برای مردم نمایان کند ، نام ایکس باکس را بر آن نهاد .,1
باطری خوب . .,1
نسبت به قیمتش نمی ارزه .,-1
نظر من درمورد این گوشی نقاط قوت .,0
الان هفته شده که استفاده میکنم ، همه چیزش خوبه بجز مورد که یکم آدمو ناراحت میکنه باتریش که نهایت ساعت کار میده با استفاده نرمال و کلیدهای سخت افزاریش که بعضی مواقع باید بیشتر از بار فشار داد .,-1
علاوه بر روش های مختلف اتصال دوربین به بدن ورزشکار که منجر به ثبت تصاویر از زوایای دید بسیار جذاب و طبیعی می شوند ، این دوربین باید از ویژگی های محافظتی خوبی هم بهره ببرد تا در صورت مواجه با خطرات مختلف از قبیل ورود ضربه یا خیس شدن دوام بیاورد .,1
من این گوشی رو یه هفته و نیمه که خریدم .,0
در کل دوربینه خوبیه با این قیمت اگه میخوای بخری شک نکن,1
همان طور که پیش تر گفتیم در دو طرف شیار اتصال تبلت به کامپیوتر ، دو بلندگوی استریو قرار دارند .,0
خودم از دیجی کالا خریدمش بسیار با کیفیت به دستم رسید,2
چهار هسته ای با گیگاهرتز و رم گیگا بایت خیلی عالی هیچ ضعفی در اون ندیدم,2
من هنوز نخریدم ولی این طور که گفتند اگر رایتل یا ایرانسل در اسلاید قرار بگیره آنتن نخواهی داشت فایده ای نداره و اکثرا نمیتونند از همراه بانک استفاده کنند .,-1
باتری یون چون توسط کاربر قابل تعویض نیست اگه مشکلی پیش بیاد باید پشت گوشی باز بشه و در این بین مشکلات دیگه ای که در پی باز شدن گوشی هست هم وجود داره !,-1
سلام این هارد خیلی مقاومه در برابر ضربه تستش کردم ولی از اولش که گرفتمش سیم رابطش مشکل داشت .,0
البته وعده داده است که این تبلت به زودی به اندروید یا آپدیت خواهد شد .,0
شما مشکلات عدم اجرای بازیها و مسا لی همچون دیتا را در تبلت های ندارید .,0
لذت ببرید .,1
با اینکه لنز کوچک تری نسبت به دارد ولی ضخامت آن کمی بیشتر است .,0
هسته ای .,0
با وجود چنین تکنولوژی و سخت افزار پیشرفته ای که در این لپ تاپ به کار گرفته شده است ، بسیار باریک و سبک بوده و طول عمر باتری آن بسیار بالاست .,2
از بابت آنتن دهی خوبه اجرای برنامه خوبه .,1
این بار نیز این کمپانی طراحی و تولید تبلت خود را به شرکت سپرد که خود در حال حاضر یکی از بزرگ ترین و پر طرفدارترین کمپانی های تولیدکننده تبلت و لپ تاپ است .,1
به جز این قابلیت ها ، سامسونگ تغییر خاص دیگری در رابط کاربری تاچ ویز نداده است و نسبت به نسخه های گذشته تغییر خاص دیگری نداشته است .,0
سرعت گوشی هم واقعا رفته بالا .,1
ممکن است این نگرانی برای خریداران پیش آید که آیا احتمال این وجود دارد که بر اثر حرکت دادن داک ، گوشی از داخل آن به بیرون پرت شود ؟,0
قدرت سخت افزاری مناسب آن ، برای اجرای اکثر پردازش ها کافیست .,1
همچنین رنگ ها بسیار زنده و طبیعی هستند و به سختی می توان پیکسل های تصویر را از یکدیگر تشخیص داد .,2
علی الخصوص قابلیت این دوربینها همراه با اندازه کوچکی که دارند عکاسی در شرایط دشوار را بسیار راحت کرده اند .,1
به نظر من در ایران اصلا به قیمتش نمی ارزه با هزینه ای که برای این صرف میشه ، میشه تا گوشی قدرتمند تر و بهتر از آی فون خرید,-1
گوشی فوق العاده سریع .,2
کمپانی هایی نظیر و نیز اعلام کرده اند که نسخه ی برنامه های معروف و را به زودی منتشر خواهند کرد .,0
عالی,2
ازش راضی هستم . .,1
من فردا نوت میخرم چون به یقین نیازهای مرا تامین خواهد کرد .,0
"نمایشگر اینچی هم رزولوشن , پیکسل را ارایه می دهد که رزولوشن بسیار بالا و خوبیست .",2
در کل مشکل خاصی نداره و خیلی کار با این گوشی لذت بخشه .,1
لانچر که عوض میشه مشکلی نداره !,1
مطالبی که عرض کردم به سادگی قابل قضاوت است !,0
موندم چرا بعضی دوستان از کیفیت صفحه نمایش انتقاد میکنن .,0
وقتی هنوز قیمتش معلوم نیست نمیشه در مقایسه با سایر کالاها نظر داد,0
بر روی بدنه ی داک این گوشی ، بلندگو به چشم می خورد که البته به نظر تزیینی می رسد !,0
ولی به نظر من کلا عملکرد باطریش خیلی راضی کننده و خوبه .,2
سامسونگ با این روند یکه تاز عرصه دیجیتال خواهد شد,1
من خودم شخصا به همه دوستام دیجی کالا رو پیشنهاد میکنم چون کارش حرف نداره .,2
معرفی شاید بسیاری از شما علاقه مندان به بازیهای رایانه ای مالک یکی از چهل میلیون دستگاه در دنیا باشید یا تجربه بازی با آن را داشته باشید و یا اینکه حداقل وسوسه خرید آن تا مدتها ذهن شما را به خود مشغول کرده باشد !,0
من ماه این گوشیرو دارم و تازگی به آپدیت کردم .,0
دوربین برخلاف تصور خیلی از کاربران ، دوربین این گوشی نسبت به مدل پیشین یعنی ، تغییرات بسیاری داشته است .,0
البته این بدان معنا نیست که با دیدن این گوشی شگفت زده می شوید ، ولی به هر حال نمی توان زیبایی این مدل در عین سادگی آن را کتمان نمود .,1
صفحه نمایش عالی .,2
باطریش هم فوق العاده است راحت ساعتو ساپورت میکنه .,2
در ساخت سیستم صوتی این نوت بوک از فن آوری استفاده شده که ایسوز از آن به نام یاد می کند .,0
به نظر من هر چقدر هم عالی باشه کیفیتش بی همتا باشه سریعترین گوشی دنیا باشه و .,0
من با هر دو امتحاد کردم و ایپد بهتر است مخصوصا وقتی در جایی با نور کم عکس می گیرید اختلاف کاملا مشخص استو در فیلم برداری واقعا ایپد کیفیت بهتری داره کیفیت صفحه کیفیت صفحه ی ایپد فوق العاده است .,0
اما واقعیت چیز دیگری است در واقع برتری اپل اول از همه در سیستم عامل منحصر به فرد اوست .,1
همین اما با این همه احتمال اینکه این گوشیو بخرم زیاده چون از صفحه ی بزرگش خیلی خوشم اومد .,1
به نظر من درسته از لحاظ سخت افزاری از کمی ضعیفتره ، اما باید توجه داشته باشیم که برای کشش گرافیکی و اجرای بهتر بازی ها حدود مگابایت در اختیار گرافیک و پخش تصویری بازی ها قرار میده ولی حدود مگابایت .,0
با تشکر .,0
ولی ارکد با یک بورد جاسپر و هارد قابل خرید که جمعا کمتر از پولی میشه که باید به الایت بپردازیم .,0
جاییکه ها رنگ های زنده تری را تولید می نمایند ولی ها کنتراست بالاتری دارند .,1
براستی که ارزش خرید را دارد چون کاربری ان با تمام برندها متفاوت بوده و چیزی کم ندارد .,1
در کل گوشی عالی است و من هم ازش راضی هستم و تا الان در این رنج قیمت بهترین است .,2
تمام لوازمی که در پک و موجود نیستند را می توان به صورت جداگانه خریداری نمود و به کنسول اضافه کرد .,0
عملکرد عالی کینکت بدون نیاز به وسیله ای که خیلی عالی حرکات شما رو شناسایی میکنه .,2
